row_type,precinct_name,house_district,peltola_votes,harris_votes,peltola_pct_r1,harris_pct,overperformance_pp,splitticket_lb
hd_absentee,HD 38 — Absentee+Early+Question,38,488,444,63.708,54.080,9.627,44
hd_absentee,HD 39 — Absentee+Early+Question,39,513,465,61.511,52.189,9.322,48
hd_absentee,HD 40 — Absentee+Early+Question,40,362,332,53.789,45.170,8.619,30
hd_absentee,HD 32 — Absentee+Early+Question,32,898,965,40.305,32.913,7.393,0
hd_absentee,HD 37 — Absentee+Early+Question,37,685,659,51.855,46.311,5.544,26
hd_absentee,HD 36 — Absentee+Early+Question,36,1523,1409,45.957,40.841,5.116,114
hd_absentee,HD 31 — Absentee+Early+Question,31,1728,1663,53.631,48.668,4.963,65
hd_absentee,HD 2 — Absentee+Early+Question,2,2704,2593,57.143,52.205,4.938,111
hd_absentee,HD 19 — Absentee+Early+Question,19,1500,1467,67.355,62.479,4.876,33
hd_absentee,HD 20 — Absentee+Early+Question,20,2076,1999,62.361,57.825,4.536,77
hd_absentee,HD 5 — Absentee+Early+Question,5,1654,1597,49.774,45.254,4.521,57
hd_absentee,HD 4 — Absentee+Early+Question,4,4248,4089,73.686,69.200,4.487,159
hd_absentee,HD 18 — Absentee+Early+Question,18,972,1203,45.806,41.497,4.309,0
hd_absentee,HD 34 — Absentee+Early+Question,34,2001,2021,46.741,42.458,4.283,0
hd_absentee,HD 35 — Absentee+Early+Question,35,2511,2410,58.944,54.835,4.109,101
hd_absentee,HD 16 — Absentee+Early+Question,16,2794,2671,65.204,61.191,4.013,123
hd_absentee,HD 3 — Absentee+Early+Question,3,4052,3907,63.902,59.896,4.006,145
hd_absentee,HD 6 — Absentee+Early+Question,6,3237,3088,49.632,45.674,3.958,149
hd_absentee,HD 28 — Absentee+Early+Question,28,1385,1242,29.362,25.582,3.780,143
hd_absentee,HD 14 — Absentee+Early+Question,14,2509,2451,66.711,62.992,3.719,58
hd_absentee,HD 12 — Absentee+Early+Question,12,2232,2142,60.032,56.339,3.694,90
hd_absentee,HD 25 — Absentee+Early+Question,25,1983,1866,37.967,34.384,3.583,117
hd_absentee,HD 15 — Absentee+Early+Question,15,2259,2156,55.654,52.077,3.577,103
hd_absentee,HD 7 — Absentee+Early+Question,7,1699,1568,31.457,27.950,3.507,131
hd_absentee,HD 27 — Absentee+Early+Question,27,1143,1035,26.349,22.848,3.501,108
