row_type,precinct_name,house_district,peltola_votes,harris_votes,peltola_pct_r1,harris_pct,overperformance_pp,splitticket_lb
precinct,37-750 St. George Island,37,6,2,85.714,33.333,52.381,4
precinct,37-732 Manokotak,37,62,24,62.000,23.529,38.471,38
precinct,37-728 Lake Iliamna No. 2,37,47,23,66.197,31.081,35.116,24
precinct,40-012 Buckland,40,57,30,70.370,37.037,33.333,27
precinct,40-036 Selawik,40,42,19,56.757,24.675,32.081,23
precinct,38-844 Nightmute,38,20,11,66.667,36.667,30.000,9
precinct,05-815 Kodiak Island South,5,13,7,76.471,46.667,29.804,6
precinct,37-748 South Naknek,37,11,6,68.750,40.000,28.750,5
precinct,40-006 Atqasuk,40,17,7,48.571,20.000,28.571,10
precinct,38-842 Newtok,38,34,21,68.000,40.385,27.615,13
precinct,38-852 Toksook Bay,38,123,80,73.653,46.243,27.410,43
precinct,39-934 Scammon Bay,39,81,54,78.641,52.427,26.214,27
precinct,40-026 Noatak,40,46,19,45.098,19.192,25.906,27
precinct,38-856 Tuntutuliak,38,90,61,77.586,52.137,25.449,29
precinct,40-034 Point Lay,40,16,9,55.172,30.000,25.172,7
precinct,39-950 Wales,39,7,5,87.500,62.500,25.000,2
precinct,36-082 Grayling,36,36,22,67.925,43.137,24.787,14
precinct,36-022 Beaver,36,14,11,93.333,68.750,24.583,3
precinct,38-836 Mekoryuk,38,47,29,69.118,44.615,24.502,18
precinct,38-854 Tuluksak,38,47,33,66.197,42.308,23.889,14
precinct,39-944 Stebbins,39,47,30,65.278,41.667,23.611,17
precinct,37-702 Aleknagik,37,31,17,49.206,25.758,23.449,14
precinct,39-920 Koyuk,39,57,34,58.763,35.789,22.973,23
precinct,38-858 Tununak,38,64,44,80.000,57.143,22.857,20
precinct,39-908 Elim,39,54,32,54.000,31.373,22.627,22
