row_type,precinct_name,house_district,peltola_votes,harris_votes,peltola_pct_r1,harris_pct,overperformance_pp,splitticket_lb
hd_absentee,HD 4 — Absentee+Early+Question,4,4248,4089,73.686,69.200,4.487,159
hd_absentee,HD 6 — Absentee+Early+Question,6,3237,3088,49.632,45.674,3.958,149
hd_absentee,HD 3 — Absentee+Early+Question,3,4052,3907,63.902,59.896,4.006,145
hd_absentee,HD 28 — Absentee+Early+Question,28,1385,1242,29.362,25.582,3.780,143
hd_absentee,HD 24 — Absentee+Early+Question,24,2066,1935,37.797,34.492,3.305,131
hd_absentee,HD 7 — Absentee+Early+Question,7,1699,1568,31.457,27.950,3.507,131
hd_absentee,HD 16 — Absentee+Early+Question,16,2794,2671,65.204,61.191,4.013,123
hd_absentee,HD 9 — Absentee+Early+Question,9,3218,3099,57.629,54.627,3.002,119
hd_absentee,HD 25 — Absentee+Early+Question,25,1983,1866,37.967,34.384,3.583,117
hd_absentee,HD 36 — Absentee+Early+Question,36,1523,1409,45.957,40.841,5.116,114
hd_absentee,HD 29 — Absentee+Early+Question,29,1563,1452,31.111,27.998,3.112,111
hd_absentee,HD 2 — Absentee+Early+Question,2,2704,2593,57.143,52.205,4.938,111
hd_absentee,HD 8 — Absentee+Early+Question,8,1581,1471,28.972,26.212,2.760,110
hd_absentee,HD 27 — Absentee+Early+Question,27,1143,1035,26.349,22.848,3.501,108
hd_absentee,HD 15 — Absentee+Early+Question,15,2259,2156,55.654,52.077,3.577,103
hd_absentee,HD 23 — Absentee+Early+Question,23,2760,2659,43.499,40.602,2.897,101
hd_absentee,HD 35 — Absentee+Early+Question,35,2511,2410,58.944,54.835,4.109,101
hd_absentee,HD 12 — Absentee+Early+Question,12,2232,2142,60.032,56.339,3.694,90
hd_absentee,HD 30 — Absentee+Early+Question,30,1554,1467,33.036,30.061,2.974,87
hd_absentee,HD 10 — Absentee+Early+Question,10,2049,1963,55.710,52.347,3.363,86
hd_absentee,HD 20 — Absentee+Early+Question,20,2076,1999,62.361,57.825,4.536,77
hd_absentee,HD 11 — Absentee+Early+Question,11,2502,2433,55.823,53.638,2.186,69
hd_absentee,HD 31 — Absentee+Early+Question,31,1728,1663,53.631,48.668,4.963,65
hd_absentee,HD 21 — Absentee+Early+Question,21,2598,2534,60.986,57.788,3.198,64
hd_absentee,HD 26 — Absentee+Early+Question,26,1106,1046,25.763,23.301,2.461,60
