row_type,precinct_name,house_district,peltola_votes,harris_votes,peltola_pct_r1,harris_pct,overperformance_pp,splitticket_lb
precinct,40-010 Browerville,40,406,278,65.484,43.438,22.046,128
precinct,35-596 University West,35,681,584,53.162,45.625,7.537,97
precinct,38-810 Bethel No. 2,38,367,275,64.499,48.587,15.913,92
precinct,20-670 University No. 5,20,725,637,56.596,49.151,7.445,88
precinct,05-830 Mission Road,5,577,490,41.781,34.950,6.831,87
precinct,35-582 Chena,35,703,619,49.929,43.561,6.368,84
precinct,16-460 West Anchorage No. 3,16,628,546,60.443,52.299,8.144,82
precinct,23-805 Chugach Park No. 1,23,456,375,43.470,35.344,8.126,81
precinct,32-385 Badger No. 2,32,346,266,29.879,22.677,7.202,80
precinct,39-926 Nome No. 2,39,366,287,64.211,49.740,14.470,79
precinct,40-024 Kotzebue,40,356,280,64.029,49.558,14.471,76
precinct,34-263 Steele Creek,34,402,326,38.878,31.226,7.652,76
precinct,29-510 Fishhook,29,408,333,29.868,23.974,5.894,75
precinct,31-485 Fairbanks No. 3,31,444,373,52.420,43.072,9.349,71
precinct,34-240 Farmers Loop,34,513,444,57.191,49.115,8.076,69
precinct,07-010 K Beach,7,235,168,26.584,18.919,7.665,67
precinct,02-755 Petersburg-Kupreanof,2,344,277,43.054,33.293,9.761,67
precinct,20-660 University No. 3,20,547,480,60.576,52.863,7.712,67
precinct,21-715 East Anchorage No. 3,21,543,477,49.499,43.285,6.214,66
precinct,19-610 Airport Heights No. 2,19,376,310,53.333,43.056,10.278,66
precinct,01-610 Ketchikan No. 2,1,406,342,49.573,40.909,8.664,64
precinct,03-320 Thunder Mountain,3,425,361,54.003,45.181,8.821,64
precinct,16-470 West Anchorage No. 5,16,462,398,51.050,44.027,7.023,64
precinct,12-270 Southeast Anchorage No. 5,12,462,398,48.377,41.719,6.658,64
precinct,16-455 West Anchorage No. 2,16,493,429,62.169,54.030,8.139,64
